# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default channel group)
# Account: XueLim
# Property: Bruh
# ----------------------------------------
# 
# All Users
# Start date: 20250320
# End date: 20250416
Session primary channel group (Default channel group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,20,2,0.1,2.6,4,80,0,0,0
Unassigned,2,0,0,6,3.5,7,0,0,0
